Código	Nome da Propriedade	Código SIGEF/SNCI	Município	Área_ha	Codigo Único	Lat	Lon
FRP1818	FAZENDA ESTRADA DO OURO I	9501902264401	Formosa do Rio Preto	500,6	9501902264401	-11,251481	-45,385250
FRP1819	FAZENDA AHLERT	3010860257129	Formosa do Rio Preto	325,5	3010860257129	-11,252900	-46,521013
FRP1820	FAZENDA SANTO ANTÔNIO LOTE 02	9510218718699	Formosa do Rio Preto	157,1	9510218718699A	-11,254078	-45,136783
FRP1821	FAZENDA ESTRONDO - LOTE 95 C	0000600683810	Formosa do Rio Preto	693,7	0000600683810	-11,256027	-45,728813
FRP1822	FAZENDA LOURENÇO	9510648182598	Formosa do Rio Preto	8003,8	9510648182598	-11,256039	-45,313693
FRP1823	FAZENDA SANTO ANTÔNIO LOTE 02	9510218718699	Formosa do Rio Preto	329,4	9510218718699B	-11,256595	-45,137118
FRP1824	FAZENDA MALHADA GRANDE	9500418035299	Formosa do Rio Preto	6347,6	9500418035299	-11,257639	-45,189138
FRP1825	FAZENDA ESPIRITO SANTO	9999205466150	Formosa do Rio Preto	176,5	9999205466150A	-11,258024	-45,695532
FRP1826	FAZENDA GUARIBAS	9500332340528	Formosa do Rio Preto	1085,8	9500332340528	-11,258030	-45,395300
FRP1827	FAZENDA NOVO OESTE II	7050200927209	Formosa do Rio Preto	325,5	7050200927209	-11,259448	-46,529302
FRP1828	PROJETO AGRÍCOLA ESTRONDO - GLEBA F	0000600687727	Formosa do Rio Preto	769,6	0000600687727D	-11,260102	-46,170902
FRP1829	PROJETO AGRÍCOLA ESTRONDO GLEBA C	0000600687565	Formosa do Rio Preto	9048,3	0000600687565A	-11,262025	-46,245238
FRP1830	FAZENDA ESTRONDO - LOTE 126	0000600689002	Formosa do Rio Preto	554,2	0000600689002D	-11,263813	-45,486476
FRP1831	FAZENDA ESTRONDO - LOTE 94 C	0000600680552	Formosa do Rio Preto	917,5	0000600680552	-11,265260	-45,791552
FRP1832	FAZENDA VENTURE - GLEBA 38	3010860251279	Formosa do Rio Preto	285,6	3010860251279	-11,265821	-46,534328
FRP1833	FAZENDA CANABRAVA	3010860000195	Formosa do Rio Preto	2332,8	3010860000195A	-11,267090	-45,102374
FRP1834	FAZENDA NOSSA SENHORA DE FATIMA	3010860227807	Formosa do Rio Preto	7765,8	3010860227807	-11,268281	-45,635303
FRP1835	PROJETO AGRÍCOLA ESTRONDO GLEBA G	0000600692992	Formosa do Rio Preto	4159,6	0000600692992D	-11,269341	-46,151304
FRP1836	FAZENDA LIBERDADE	0000600639838	Formosa do Rio Preto	5447,9	0000600639838	-11,269626	-46,102652
FRP1837	FAZENDA IRMAOS FERREIRA II	9500689212382	Formosa do Rio Preto	145,3	9500689212382	-11,271036	-45,704597
FRP1838	FAZENDA PIRILAMPO	0000600655876	Formosa do Rio Preto	5453,8	0000600655876	-11,271930	-45,889778
FRP1839	FAZENDA FRONTEIRA (GLEBA 40)	3010860251350	Formosa do Rio Preto	258,3	3010860251350	-11,272313	-46,538804
FRP1840	FAZENDA SANTO ANTONIO - LOTE 01, LOTE 02 E LOTE 03	9999549153518	Formosa do Rio Preto	1009,8	9999549153518	-11,274209	-45,142527
FRP1841	FAZENDA ALAKA E LOTES 1-A E OUTROS	0000600646532	Formosa do Rio Preto	6169,7	0000600646532	-11,274843	-46,315702
FRP1842	FAZENDA MORRO SANTO II	0000199289926	Formosa do Rio Preto	3498,2	0000199289926	-11,275302	-46,467386
FRP1843	FAZENDA VEREDA II	9501577201511	Formosa do Rio Preto	68,5	9501577201511	-11,275846	-45,702262
FRP1844	FAZENDA ESPIRITO SANTO	9999205466150	Formosa do Rio Preto	62,9	9999205466150B	-11,276949	-45,691653
FRP1845	FAZENDA ESPIRITO SANTO	9999205466150	Formosa do Rio Preto	75,3	9999205466150C	-11,277176	-45,737155
FRP1846	FAZENDA ESTRONDO  LOTE 93-B	0000600682920	Formosa do Rio Preto	727,8	0000600682920	-11,277561	-45,818651
FRP1847	FAZENDA COLORADO E LOTES	9261160131889	Formosa do Rio Preto	5283,9	9261160131889	-11,278750	-45,929289
FRP1848	FAZENDA ELDORADO - GLEBA 39	3010860251430	Formosa do Rio Preto	262,4	3010860251430	-11,279224	-46,542649
FRP1849	FAZENDA NOSSA SENHORA APARECIDA	0000436739001	Formosa do Rio Preto	4187,5	0000436739001	-11,279336	-45,528424
FRP1850	FAZENDA MONTANA LOTE 45A E OUTROS	9014580207700	Formosa do Rio Preto	746,0	9014580207700A	-11,279413	-46,034465
FRP1851	FAZENDA SÃO PEDRO II	9501571317097	Formosa do Rio Preto	70,9	9501571317097	-11,279741	-45,701019
FRP1852	FAZENDA ESPIRITO SANTO	9999205466150	Formosa do Rio Preto	249,1	9999205466150D	-11,283472	-45,747745
FRP1853	FAZENDA SAO PEDRO III	9501577201430	Formosa do Rio Preto	68,9	9501577201430	-11,284334	-45,699401
FRP1854	FAZENDA ESTRONDO  LOTE 93-A	9261160131617	Formosa do Rio Preto	686,6	9261160131617	-11,285015	-45,843517
FRP1855	FAZENDA SANTA CLARA GLEBA A	9500253053831	Formosa do Rio Preto	154,5	9500253053831A	-11,285133	-45,356266
FRP1856	FAZENDA SILVA PAES	0000600662309	Formosa do Rio Preto	4065,4	0000600662309	-11,285293	-45,961440
FRP1857	PROJETO AGRÍCOLA ESTRONDO GLEBA C	0000600687565	Formosa do Rio Preto	478,4	0000600687565B	-11,286953	-46,190960
FRP1858	FAZENDA SANTA CLARA GLEBA A	9500253053831	Formosa do Rio Preto	164,7	9500253053831B	-11,288039	-45,351303
